Report of testing
======================General information===================
Total number of different cases: 1016
proportional: 1016
unproportional: 0
zeroDerivations: 0
correct answers number: 1016
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 382.3039162158966
average time per test: 4.497693131951725
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
=====================Proportional derivations==================
480):  (3, 13, 13, 1, 0, 13):  GIVEN_DERIVATION : [0, 13*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(3*x**14 + x**13 + x**12 + 8*x**11 + 4*x**10 + 3*x**9 + 8*x**8 + 3*x**7 + 5*x**6 + 2*x**5 + x**4 + 6*x**3 + 4*x**2 + x + 5)] |-----|
481):  (10, 10, 14, 1, 0, -6):  GIVEN_DERIVATION : [0, -6*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(6*x**15 + 7*x**14 + 2*x**13 + 6*x**12 + 2*x**11 + 4*x**10 + 9*x**9 + x**8 + 8*x**7 + x**6 + 9*x**5 + 2*x**4 + x**3 + 7*x**2 + 8*x + 3)] |-----|
482):  (2, 10, 3, 1, 0, 12):  GIVEN_DERIVATION : [0, 12*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(9*x**4 + 6*x**3 + 8*x**2 + 7*x + 6)] |-----|
483):  (9, 14, 11, 1, 0, -6):  GIVEN_DERIVATION : [0, -6*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(2*x**12 + 2*x**11 + 4*x**10 + 4*x**9 + 4*x**8 + 8*x**7 + 7*x**6 + 8*x**5 + 6*x**4 + 3*x**3 + 9*x**2 + 4*x + 4)] |-----|
484):  (3, 3, 2, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(4*x**3 + 9*x**2 + 7*x + 6)] |-----|
485):  (10, 13, 7, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(2*x**8 + 3*x**7 + 9*x**6 + 4*x**5 + 6*x**4 + 4*x**3 + 8*x**2 + 6*x + 6)] |-----|
486):  (6, 1, 13, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(4*x**14 + 5*x**13 + 3*x**12 + 4*x**11 + 4*x**10 + 9*x**9 + 6*x**8 + 3*x**7 + 8*x**6 + 9*x**5 + x**4 + 6*x**3 + 8*x**2 + 9*x + 8)] |-----|
487):  (15, 4, 11, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(x**12 + 2*x**11 + 7*x**10 + 7*x**9 + 3*x**8 + x**7 + 3*x**6 + x**5 + 2*x**4 + 5*x**3 + 9*x**2 + 6*x + 4)] |-----|
488):  (4, 6, 6, 1, 0, -7):  GIVEN_DERIVATION : [0, -7*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(x**7 + 7*x**6 + 4*x**5 + 5*x**4 + 6*x**3 + 7*x**2 + 4*x + 2)] |-----|
489):  (11, 12, 15, 1, 0, 10):  GIVEN_DERIVATION : [0, 10*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(4*x**16 + 5*x**15 + 5*x**14 + 5*x**13 + 3*x**12 + 3*x**11 + 6*x**10 + 6*x**9 + 6*x**8 + 6*x**7 + 6*x**6 + x**5 + 6*x**4 + 8*x**3 + 6*x**2 + 2*x + 1)] |-----|
490):  (1, 15, 15, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(3*x**16 + x**15 + 4*x**14 + 2*x**13 + 6*x**12 + 6*x**11 + 6*x**10 + 9*x**9 + 6*x**8 + 3*x**7 + 2*x**6 + 3*x**5 + 8*x**4 + 6*x**3 + 5*x**2 + 9*x + 2)] |-----|
491):  (14, 4, 3, 1, 0, -10):  GIVEN_DERIVATION : [0, -10*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(x**4 + 4*x**3 + 2*x**2 + 4*x + 2)] |-----|
492):  (9, 14, 15, 1, 0, -6):  GIVEN_DERIVATION : [0, -6*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(8*x**16 + 4*x**15 + 3*x**14 + 7*x**13 + 2*x**12 + 7*x**11 + 8*x**10 + 6*x**9 + 8*x**8 + 9*x**7 + 6*x**6 + 7*x**5 + 3*x**4 + 2*x**3 + 5*x**2 + 2*x + 2)] |-----|
493):  (15, 7, 5, 1, 0, 5):  GIVEN_DERIVATION : [0, 5*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(9*x**6 + 7*x**5 + 7*x**4 + 5*x**3 + 7*x**2 + 7*x + 3)] |-----|
494):  (14, 8, 9, 1, 0, 5):  GIVEN_DERIVATION : [0, 5*x**9*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [0, y*(3*x**10 + 8*x**9 + 9*x**8 + x**7 + 9*x**6 + 2*x**5 + x**4 + 2*x**3 + 6*x**2 + 4*x + 7)] |-----|
495):  (6, 14, 5, 1, 0, 9):  GIVEN_DERIVATION : [0, 9*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(9*x**6 + 7*x**5 + 4*x**4 + 6*x**3 + 5*x**2 + 3*x + 7)] |-----|
496):  (14, 5, 11, 1, 0, 12):  GIVEN_DERIVATION : [0, 12*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(4*x**12 + 6*x**11 + 2*x**10 + x**9 + 6*x**8 + 4*x**7 + 7*x**6 + 3*x**5 + 7*x**4 + 8*x**3 + 4*x**2 + 7*x + 8)] |-----|
497):  (7, 2, 12, 1, 0, -1):  GIVEN_DERIVATION : [0, -x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(x**13 + 8*x**12 + 9*x**11 + 6*x**10 + 4*x**9 + 5*x**8 + 4*x**7 + 5*x**6 + 8*x**5 + 3*x**4 + 9*x**3 + 8*x**2 + 7*x + 7)] |-----|
498):  (5, 14, 15, 1, 0, -15):  GIVEN_DERIVATION : [0, -15*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(9*x**16 + 3*x**15 + 2*x**14 + 2*x**13 + 8*x**12 + 8*x**11 + 5*x**10 + 5*x**9 + 6*x**8 + 8*x**7 + 4*x**6 + 8*x**5 + 2*x**4 + 5*x**3 + 3*x**2 + 3*x + 8)] |-----|
499):  (12, 15, 10, 1, 0, -11):  GIVEN_DERIVATION : [0, -11*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(4*x**11 + 7*x**10 + 9*x**9 + 8*x**8 + x**7 + x**6 + 6*x**5 + 7*x**4 + 3*x**3 + x**2 + 7*x + 9)] |-----|
500):  (13, 1, 4, 1, 0, 8):  GIVEN_DERIVATION : [0, 8*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(6*x**5 + 5*x**4 + 5*x**3 + 5*x**2 + 2*x + 1)] |-----|
501):  (14, 9, 4, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(x**5 + 8*x**4 + 6*x**3 + 3*x**2 + 9*x + 3)] |-----|
502):  (7, 7, 5, 1, 0, -13):  GIVEN_DERIVATION : [0, -13*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(2*x**6 + 4*x**5 + 6*x**4 + 8*x**3 + x**2 + 5*x + 1)] |-----|
503):  (14, 9, 14, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(5*x**15 + 3*x**14 + 4*x**13 + 8*x**12 + 6*x**11 + x**10 + x**9 + 4*x**8 + 3*x**7 + 6*x**6 + 9*x**5 + 3*x**4 + x**3 + 8*x**2 + 9*x + 8)] |-----|
504):  (15, 15, 6, 1, 0, -13):  GIVEN_DERIVATION : [0, -13*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(6*x**7 + 4*x**6 + 5*x**5 + 9*x**4 + 4*x**3 + 4*x**2 + x + 5)] |-----|
505):  (13, 12, 10, 1, 0, 11):  GIVEN_DERIVATION : [0, 11*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(5*x**11 + 5*x**10 + 9*x**9 + 7*x**8 + 4*x**7 + 5*x**6 + 8*x**5 + 6*x**4 + 2*x**3 + 9*x**2 + 3*x + 7)] |-----|
506):  (13, 6, 12, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(9*x**13 + 6*x**12 + 2*x**11 + 7*x**10 + 7*x**9 + 8*x**8 + x**7 + 8*x**6 + 9*x**5 + 4*x**4 + x**3 + 2*x**2 + x + 9)] |-----|
507):  (6, 15, 3, 1, 0, 6):  GIVEN_DERIVATION : [0, 6*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(3*x**4 + 5*x**3 + 5*x**2 + 9*x + 8)] |-----|
508):  (3, 11, 7, 1, 0, -7):  GIVEN_DERIVATION : [0, -7*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(5*x**8 + 2*x**7 + 2*x**6 + 8*x**5 + 4*x**4 + 4*x**3 + 2*x**2 + 8*x + 6)] |-----|
509):  (15, 13, 15, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(3*x**16 + 8*x**15 + 6*x**14 + 9*x**13 + 7*x**12 + 7*x**11 + 9*x**10 + 9*x**9 + x**8 + x**7 + 8*x**6 + x**5 + 8*x**4 + 6*x**3 + x**2 + 8*x + 7)] |-----|
510):  (13, 2, 2, 1, 0, -10):  GIVEN_DERIVATION : [0, -10*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(8*x**3 + 3*x**2 + 2*x + 1)] |-----|
511):  (12, 14, 5, 1, 0, -12):  GIVEN_DERIVATION : [0, -12*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(4*x**6 + 3*x**5 + 9*x**4 + 2*x**3 + 4*x**2 + 2*x + 6)] |-----|
512):  (3, 7, 13, 1, 0, -5):  GIVEN_DERIVATION : [0, -5*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(5*x**14 + 7*x**13 + 7*x**12 + 3*x**11 + 9*x**10 + 7*x**9 + 9*x**8 + 7*x**7 + 6*x**6 + x**5 + 2*x**4 + 6*x**3 + 5*x**2 + 9*x + 7)] |-----|
513):  (15, 9, 7, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(x**8 + 6*x**7 + 4*x**6 + 2*x**5 + 4*x**4 + 2*x**3 + x**2 + 8*x + 3)] |-----|
514):  (9, 9, 6, 1, 0, -9):  GIVEN_DERIVATION : [0, -9*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(9*x**7 + 3*x**6 + 3*x**5 + 5*x**4 + 9*x**3 + 3*x**2 + 8*x + 7)] |-----|
515):  (9, 11, 4, 1, 0, 10):  GIVEN_DERIVATION : [0, 10*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(2*x**5 + 9*x**4 + 4*x**3 + 7*x**2 + 5*x + 3)] |-----|
516):  (11, 14, 14, 1, 0, -2):  GIVEN_DERIVATION : [0, -2*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(9*x**15 + 5*x**14 + 2*x**13 + 2*x**12 + 2*x**11 + 6*x**10 + 4*x**9 + 5*x**8 + 5*x**7 + 6*x**6 + 9*x**5 + x**4 + 2*x**3 + 3*x**2 + 3*x + 5)] |-----|
517):  (12, 15, 10, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(4*x**11 + 4*x**10 + 6*x**9 + 9*x**8 + 8*x**7 + 7*x**6 + 5*x**5 + 4*x**4 + x**3 + 9*x**2 + 3*x + 4)] |-----|
518):  (10, 15, 3, 1, 0, -9):  GIVEN_DERIVATION : [0, -9*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(x**4 + 9*x**3 + 5*x**2 + 9*x + 3)] |-----|
519):  (3, 9, 1, 1, 0, -1):  GIVEN_DERIVATION : [0, -x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(7*x**2 + 3*x + 6)] |-----|
520):  (8, 11, 12, 1, 0, -7):  GIVEN_DERIVATION : [0, -7*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(4*x**13 + 3*x**12 + 8*x**11 + 4*x**10 + 8*x**9 + 3*x**8 + x**7 + 9*x**6 + 9*x**5 + x**4 + x**3 + 7*x**2 + 8*x + 1)] |-----|
521):  (2, 11, 4, 1, 0, 1):  GIVEN_DERIVATION : [0, x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(5*x**5 + 4*x**4 + 7*x**3 + 7*x**2 + 8*x + 1)] |-----|
522):  (10, 2, 9, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**9*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [0, y*(8*x**10 + 9*x**9 + 4*x**8 + 3*x**7 + 5*x**6 + 7*x**5 + 3*x**4 + 8*x**3 + x**2 + 8*x + 8)] |-----|
523):  (3, 7, 14, 1, 0, 7):  GIVEN_DERIVATION : [0, 7*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(5*x**15 + x**14 + 5*x**13 + 3*x**12 + 2*x**11 + x**10 + 6*x**9 + 4*x**8 + 8*x**7 + 3*x**6 + x**5 + 8*x**4 + 4*x**3 + 5*x**2 + 2*x + 6)] |-----|
524):  (3, 14, 8, 1, 0, 1):  GIVEN_DERIVATION : [0, x**8*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [0, y*(5*x**9 + 3*x**8 + 6*x**7 + 2*x**6 + x**5 + 8*x**4 + 2*x**3 + 2*x**2 + 8*x + 3)] |-----|
525):  (6, 13, 2, 1, 0, 2):  GIVEN_DERIVATION : [0, 2*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(5*x**3 + 2*x**2 + 4*x + 1)] |-----|
526):  (8, 2, 2, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(8*x**3 + x**2 + 3*x + 4)] |-----|
527):  (6, 13, 3, 1, 0, -1):  GIVEN_DERIVATION : [0, -x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(8*x**4 + 3*x**3 + 2*x**2 + 9*x + 1)] |-----|
528):  (13, 10, 15, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(x**16 + 8*x**15 + 2*x**14 + 4*x**13 + 9*x**12 + x**11 + 3*x**10 + x**9 + 8*x**8 + 3*x**7 + 3*x**6 + 8*x**5 + 3*x**4 + x**3 + 3*x**2 + 2*x + 2)] |-----|
529):  (14, 4, 12, 1, 0, -12):  GIVEN_DERIVATION : [0, -12*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(4*x**13 + 6*x**12 + 2*x**11 + 4*x**10 + 8*x**9 + 6*x**8 + 8*x**7 + 6*x**6 + 6*x**5 + 9*x**4 + 4*x**3 + 9*x**2 + 5*x + 4)] |-----|
530):  (10, 9, 6, 1, 0, -9):  GIVEN_DERIVATION : [0, -9*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(2*x**7 + 3*x**6 + 4*x**5 + 5*x**4 + 9*x**3 + 5*x**2 + 2*x + 4)] |-----|
531):  (9, 4, 13, 1, 0, 13):  GIVEN_DERIVATION : [0, 13*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(x**14 + x**13 + 6*x**12 + 8*x**11 + 5*x**10 + 5*x**9 + 5*x**8 + 6*x**7 + 4*x**6 + 5*x**5 + 8*x**4 + x**3 + x**2 + 9*x + 3)] |-----|
532):  (10, 7, 3, 1, 0, -15):  GIVEN_DERIVATION : [0, -15*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(9*x**4 + 4*x**3 + 4*x**2 + 3*x + 7)] |-----|
533):  (15, 2, 2, 1, 0, 2):  GIVEN_DERIVATION : [0, 2*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(3*x**3 + 5*x**2 + 3*x + 3)] |-----|
534):  (10, 5, 13, 1, 0, 11):  GIVEN_DERIVATION : [0, 11*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(8*x**14 + 5*x**13 + 4*x**12 + 2*x**11 + 3*x**10 + 4*x**9 + 8*x**8 + 7*x**7 + 5*x**6 + 7*x**5 + 2*x**4 + 7*x**3 + 5*x**2 + 2*x + 3)] |-----|
535):  (10, 2, 12, 1, 0, -2):  GIVEN_DERIVATION : [0, -2*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(x**13 + 4*x**12 + x**11 + 6*x**10 + 8*x**9 + 9*x**8 + x**7 + 7*x**6 + 4*x**5 + 7*x**4 + 7*x**3 + 4*x**2 + 6*x + 7)] |-----|
536):  (15, 11, 11, 1, 0, -11):  GIVEN_DERIVATION : [0, -11*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(6*x**12 + 7*x**11 + 4*x**10 + 5*x**9 + 2*x**8 + 2*x**7 + 7*x**6 + 3*x**5 + 3*x**4 + 4*x**3 + 7*x**2 + x + 7)] |-----|
537):  (5, 10, 11, 1, 0, -12):  GIVEN_DERIVATION : [0, -12*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(6*x**12 + 3*x**11 + 8*x**10 + 5*x**9 + 4*x**8 + 2*x**7 + x**6 + 6*x**5 + 2*x**4 + 8*x**3 + 5*x**2 + 6*x + 4)] |-----|
538):  (8, 7, 15, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(7*x**16 + 6*x**15 + x**14 + 5*x**13 + 2*x**12 + 6*x**11 + 3*x**10 + 6*x**9 + 6*x**8 + 2*x**7 + 7*x**6 + 2*x**5 + 4*x**4 + 5*x**3 + 6*x**2 + 4*x + 2)] |-----|
539):  (7, 1, 10, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(4*x**11 + 7*x**10 + 6*x**9 + 3*x**8 + x**7 + 9*x**6 + 8*x**5 + 8*x**4 + 6*x**3 + 3*x**2 + 9*x + 1)] |-----|
540):  (7, 11, 7, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(5*x**8 + x**7 + 6*x**6 + 3*x**5 + 7*x**4 + 8*x**3 + 3*x**2 + 4*x + 8)] |-----|
541):  (3, 8, 4, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(8*x**5 + x**4 + 3*x**3 + 9*x**2 + 7*x + 7)] |-----|
542):  (15, 2, 15, 1, 0, 8):  GIVEN_DERIVATION : [0, 8*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(7*x**16 + 9*x**15 + 8*x**14 + 2*x**13 + x**12 + 9*x**11 + 9*x**10 + 2*x**9 + 4*x**8 + 6*x**7 + 3*x**6 + 2*x**5 + 7*x**4 + 4*x**3 + 7*x**2 + 3*x + 1)] |-----|
543):  (15, 7, 10, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(9*x**11 + 9*x**10 + 5*x**9 + 6*x**8 + 4*x**7 + 2*x**6 + 6*x**5 + 3*x**4 + 5*x**3 + x**2 + 2*x + 1)] |-----|
544):  (7, 12, 9, 1, 0, 2):  GIVEN_DERIVATION : [0, 2*x**9*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [0, y*(4*x**10 + 9*x**9 + 5*x**8 + 6*x**7 + 4*x**6 + 7*x**5 + 8*x**4 + 9*x**3 + 2*x**2 + 2*x + 4)] |-----|
545):  (13, 3, 10, 1, 0, -1):  GIVEN_DERIVATION : [0, -x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(4*x**11 + x**10 + 7*x**9 + 5*x**8 + 2*x**7 + 2*x**6 + 7*x**5 + 2*x**4 + 3*x**3 + 5*x**2 + 5*x + 9)] |-----|
546):  (13, 13, 7, 1, 0, 13):  GIVEN_DERIVATION : [0, 13*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(8*x**8 + 6*x**7 + 3*x**6 + 6*x**5 + 8*x**4 + 5*x**3 + 2*x**2 + 4*x + 1)] |-----|
547):  (12, 11, 11, 1, 0, 1):  GIVEN_DERIVATION : [0, x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(5*x**12 + 7*x**11 + 3*x**10 + 7*x**9 + 4*x**8 + 3*x**7 + 6*x**6 + 9*x**5 + 7*x**4 + x**3 + x**2 + 6*x + 5)] |-----|
548):  (1, 9, 8, 1, 0, 6):  GIVEN_DERIVATION : [0, 6*x**8*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [0, y*(3*x**9 + 7*x**8 + 6*x**7 + 8*x**6 + 8*x**5 + x**4 + 9*x**3 + x**2 + 3*x + 7)] |-----|
549):  (3, 14, 3, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(2*x**4 + 3*x**3 + 6*x**2 + 5*x + 7)] |-----|
550):  (6, 13, 7, 1, 0, 10):  GIVEN_DERIVATION : [0, 10*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(5*x**8 + 4*x**7 + 7*x**6 + 5*x**5 + 9*x**4 + 2*x**3 + 2*x**2 + 5*x + 3)] |-----|
551):  (15, 5, 9, 1, 0, 13):  GIVEN_DERIVATION : [0, 13*x**9*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [0, y*(4*x**10 + 8*x**9 + 8*x**8 + x**7 + 5*x**6 + 6*x**5 + x**4 + 8*x**3 + 3*x**2 + 9*x + 6)] |-----|
552):  (6, 6, 4, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(7*x**5 + 3*x**4 + x**3 + 8*x**2 + 2*x + 6)] |-----|
553):  (14, 6, 6, 1, 0, -10):  GIVEN_DERIVATION : [0, -10*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(7*x**7 + 5*x**6 + x**5 + x**4 + 2*x**3 + 4*x**2 + 4*x + 1)] |-----|
554):  (8, 2, 10, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(8*x**11 + 2*x**10 + 9*x**9 + 6*x**8 + 2*x**7 + 9*x**6 + x**5 + 7*x**4 + 5*x**3 + 8*x**2 + 4*x + 8)] |-----|
555):  (11, 8, 12, 1, 0, -10):  GIVEN_DERIVATION : [0, -10*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(9*x**13 + 9*x**12 + 5*x**11 + 6*x**10 + 9*x**9 + 2*x**8 + 2*x**7 + 6*x**6 + 9*x**5 + 2*x**4 + x**3 + 5*x**2 + 3*x + 4)] |-----|
556):  (12, 8, 2, 1, 0, -4):  GIVEN_DERIVATION : [0, -4*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(6*x**3 + x**2 + 9*x + 6)] |-----|
557):  (15, 7, 2, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, 3*y*(2*x**3 + x**2 + 3*x + 1)] |-----|
558):  (7, 4, 9, 1, 0, -5):  GIVEN_DERIVATION : [0, -5*x**9*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [0, y*(x**10 + 9*x**9 + 3*x**8 + 2*x**7 + 5*x**6 + 3*x**5 + 4*x**4 + 9*x**3 + 2*x**2 + 2*x + 7)] |-----|
