Report of testing
======================General information===================
Total number of different cases: 72
proportional: 0
unproportional: 72
zeroDerivations: 0
correct answers number: 72
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 26.20897098382314
average time per test: 4.36816183063719
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
18):  (9, 12, 8, 13, 91, -63):  GIVEN_DERIVATION : [91*x**9*y**12, -63*x**8*y**13] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-9*x, 6*y] |-----|
19):  (8, 14, 7, 15, 135, -72):  GIVEN_DERIVATION : [135*x**8*y**14, -72*x**7*y**15] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-14*x, 7*y] |-----|
20):  (10, 12, 9, 13, -65, 50):  GIVEN_DERIVATION : [-65*x**10*y**12, 50*x**9*y**13] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-16*x/3, 4*y] |-----|
21):  (7, 5, 6, 6, -6, 7):  GIVEN_DERIVATION : [-6*x**7*y**5, 7*x**6*y**6] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [-5*x/3, 2*y] |-----|
22):  (9, 10, 8, 11, -99, 81):  GIVEN_DERIVATION : [-99*x**9*y**10, 81*x**8*y**11] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-45*x/4, 9*y] |-----|
23):  (7, 10, 6, 11, 121, -77):  GIVEN_DERIVATION : [121*x**7*y**10, -77*x**6*y**11] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-5*x, 3*y] |-----|
24):  (7, 8, 6, 9, 99, -77):  GIVEN_DERIVATION : [99*x**7*y**8, -77*x**6*y**9] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-32*x/3, 8*y] |-----|
25):  (12, 2, 11, 3, -9, 36):  GIVEN_DERIVATION : [-9*x**12*y**2, 36*x**11*y**3] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [-2*x**12*y**2 - 10*x**9*y**2/11 - 3*x**8*y/2 - 4*x**5*y/11 - 2*x**4 - 6*x/11, 8*x**11*y**3 + 5*x**8*y**3 + 6*x**7*y**2 + 2*x**4*y**2 + 8*x**3*y + 3*y] |-----|
26):  (8, 1, 7, 2, -22, 88):  GIVEN_DERIVATION : [-22*x**8*y, 88*x**7*y**2] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [-7*x**8*y/4 - 6*x**5*y/7 - 3*x**4/4 - x/7, 7*x**7*y**2 + 6*x**4*y**2 + 3*x**3*y + y] |-----|
27):  (11, 6, 10, 7, 77, -121):  GIVEN_DERIVATION : [77*x**11*y**6, -121*x**10*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-6*x/5, 2*y] |-----|
